issue_type,uid,key,title,candidate,details
doi_candidate_manual_review,113:aliabadi2021coordination,aliabadi2021coordination,Coordination of smart home energy management systems in neighborhood areas: A systematic review,10.1109/access.2021.3061995,Manual review required: metadata score 0.890 < 0.940; first author does not match
doi_candidate_manual_review,118:rocca2025optimal,rocca2025optimal,Optimal scheduling of district heat pumps conceived for implementation in energy management systems to participate in demand response,10.2139/ssrn.5194435,Manual review required: Crossref type 'posted-content' is incompatible with journal_article; candidate is preprint/posted content rather than a journal article; candidate margin 0.000 < 0.015
doi_candidate_manual_review,126:bunning2023increasing,bunning2023increasing,Increasing electrical reserve provision in districts by exploiting energy flexibility of buildings with robust model predictive control,10.1016/j.buildenv.2016.05.009,Manual review required: metadata score 0.396 < 0.940; title similarity 0.358 < 0.970; publication year differs by 7 years; source similarity 0.320 < 0.700
doi_candidate_manual_review,134:cordova2023aggregate,cordova2023aggregate,Aggregate modeling of thermostatically controlled loads for microgrid energy management systems,10.1109/tsg.2022.3170871,Manual review required: metadata score 0.611 < 0.940; title similarity 0.485 < 0.970
doi_candidate_manual_review,139:belloni2023neural,belloni2023neural,Neural-assisted HVACs optimal scheduling for renewable energy communities,10.2139/ssrn.4409763,Manual review required: Crossref type 'posted-content' is incompatible with journal_article; candidate is preprint/posted content rather than a journal article; candidate margin 0.000 < 0.015
doi_candidate_manual_review,142:afroz2023energy,afroz2023energy,Energy flexibility of commercial buildings for demand response applications in Australia,10.2139/ssrn.4453119,Manual review required: Crossref type 'posted-content' is incompatible with journal_article; candidate is preprint/posted content rather than a journal article; candidate margin 0.000 < 0.015
doi_candidate_manual_review,143:piano2022energy,piano2022energy,"Energy demand and its temporal flexibility: Approaches, criticalities and ways forward",10.1016/j.rser.2022.112249,Manual review required: metadata score 0.890 < 0.940; first author does not match
doi_candidate_manual_review,173:pantovs2025enhancing,pantovs2025enhancing,Enhancing power system reliability through demand flexibility of Grid-Interactive Efficient Buildings: A thermal model-based optimization approach,10.1093/humrep/deaf097.1009,Manual review required: metadata score 0.284 < 0.940; title similarity 0.252 < 0.970; first author does not match; source similarity 0.250 < 0.700; candidate margin 0.008 < 0.015
doi_candidate_manual_review,174:yu2024hierarchical,yu2024hierarchical,A hierarchical framework for aggregating grid-interactive buildings with thermal and battery energy storage,10.2139/ssrn.4766782,Manual review required: Crossref type 'posted-content' is incompatible with journal_article; candidate is preprint/posted content rather than a journal article; candidate margin 0.000 < 0.015
doi_candidate_manual_review,183:few2023over,few2023over,The over-prediction of energy use by EPCs in Great Britain: A comparison of EPC-modelled and metered primary energy use intensity,10.1016/j.enbuild.2023.113024,Manual review required: candidate margin 0.000 < 0.015
doi_candidate_manual_review,190:taha2017buildings,taha2017buildings,Buildings-to-grid integration framework,10.1109/tsg.2017.2761861,Manual review required: metadata score 0.920 < 0.940; publication year differs by 2 years
doi_candidate_manual_review,210:petrucci2025large,petrucci2025large,Large-scale load profiling for energy flexibility in residential buildings: A data-driven approach for load aggregation through representative clusters,10.2139/ssrn.5233704,Manual review required: Crossref type 'posted-content' is incompatible with journal_article; candidate is preprint/posted content rather than a journal article; candidate margin 0.000 < 0.015
doi_candidate_manual_review,225:cesena2018techno,cesena2018techno,"Techno-economic and business case assessment of multi-energy microgrids with co-optimization of energy, reserve and reliability services",10.1007/978-981-16-3852-7_14,Manual review required: metadata score 0.396 < 0.940; title similarity 0.515 < 0.970; Crossref type 'book-chapter' is incompatible with journal_article; first author does not match; publication year differs by 4 years; source similarity 0.320 < 0.700
doi_candidate_manual_review,235:zanetti2025commercial,zanetti2025commercial,Commercial building HVAC demand flexibility with model predictive control: Field demonstration and literature insights,10.1016/j.enbuild.2025.116097,Manual review required: candidate margin 0.000 < 0.015
doi_candidate_manual_review,240:good2017flexibility,good2017flexibility,"Flexibility in multi-energy communities with electrical and thermal storage: A stochastic, robust approach for multi-service demand response",10.1109/tsg.2017.2745559,Manual review required: metadata score 0.920 < 0.940; publication year differs by 2 years
doi_candidate_manual_review,245:bara2025energy,bara2025energy,Energy Communities’ Archetypes and Operational Scenarios Using Agents and Embedding Heating and Transportation: A. Bara et al.,10.24136/oc.3137,Manual review required: metadata score 0.340 < 0.940; title similarity 0.360 < 0.970; first author does not match; source similarity 0.333 < 0.700; candidate margin 0.008 < 0.015
doi_candidate_manual_review,252:yang2024techno,yang2024techno,Techno-economic optimization and feasibility of PCM-based seasonal thermal energy storage systems for district heating and cooling,10.2139/ssrn.4926201,Manual review required: Crossref type 'posted-content' is incompatible with journal_article; candidate is preprint/posted content rather than a journal article; candidate margin 0.000 < 0.015
doi_candidate_manual_review,305:fabietti2016experimental,fabietti2016experimental,Experimental implementation of frequency regulation services using commercial buildings,10.1109/tsg.2016.2597002,Manual review required: metadata score 0.920 < 0.940; publication year differs by 2 years; candidate margin 0.015 < 0.015
